airlineIataCode,airlineName,airlineName_trimmed
XC,코렌돈 항공,코렌돈항공
XR,코렌돈 항공 유럽,코렌돈항공유럽
CD,코렌돈 네덜란드 항공,코렌돈네덜란드항공
SS,코르스에어,코르스에어
7C,코인 항공,코인항공
OU,크로아티아 항공,크로아티아항공
C8,크로노스 항공,크로노스항공
C9,크로노스 항공 베냉,크로노스항공베냉
CU,쿠바 항공,쿠바항공
CY,키프로스 항공,키프로스항공
D3,달로 항공,달로항공
DN,단에어,단에어
DX,DAT 항공,DAT항공
R6,도트 LT,도트LT
DF,디어제트항공,디어제트항공
DL,델타항공,델타항공
D5,DHL 에어로 익스프레스,DHL에어로익스프레스
Q7,DHL 에어 오스트리아,DHL에어오스트리아
D0,DHL 에어 영국,DHL에어영국
L3,DHL 과테말라,DHL과테말라
7T,DHL 에콰도르,DHL에콰도르
ES,DHL 국제항공 ME,DHL국제항공ME
4Y,디스커버 항공,디스커버항공
3R,디비 디비 에어,디비디비에어
DZ,둥하이 항공,둥하이항공
KB,드루크 에어,드루크에어
H7,이글 에어 우간다,이글에어우간다
ZE,이스타항공,이스타항공
2D,이스턴 항공,이스턴항공
T3,이스턴 에어웨이,이스턴에어웨이
RD,이지 차터,이지차터
U2,이지젯,이지젯
EC,이지젯 유럽,이지젯유럽
DS,이지젯 스위스,이지젯스위스
RF,이-카고,이-카고
8J,에코젯,에코젯
WK,에델바이스 에어,에델바이스에어
MS,이집트항공,이집트항공
LY,엘알 항공,엘알항공
3E,엘렉트라 항공,엘렉트라항공
EL,엘리항공,엘리항공
EA,에메랄드항공 아일랜드,에메랄드항공아일랜드
ET,에메테베,에메테베
EK,에미레이트 항공,에미레이트항공
9E,엔더버 항공,엔더버항공
E4,엔터 에어,엔터에어
MQ,엔보이,엔보이
E7,이쿼플라이트,이쿼플라이트
B8,에리트레아 항공,에리트레아항공
E7,이스타페타 항공,이스타페타항공
ES,에스텔라 항공,에스텔라항공
2F,ETF 항공,ETF항공
ET,에티오피아 항공,에티오피아항공
ZU,에티오피아 모잠비크 항공,에티오피아모잠비크항공
EY,에티하드 항공,에티하드항공
Q4,유로 항공,유로항공
YU,유로 애틀랜틱 항공,유로애틀랜틱항공
H6,유럽 항공 차터,유럽항공차터
QY,유럽 항공 운송 라이프찌히,유럽항공운송라이프찌히
SE,유럽 화물항공,유럽화물항공
EW,유로윙즈,유로윙즈
E6,유로윙스 유럽 리미티드,유로윙스유럽리미티드
BR,에바 항공,에바항공
8K,에바스 항공,에바스항공
5V,에버츠 항공 화물,에버츠항공화물
ZD,에와 항공,에와항공
7A,익스프레스 에어 카고,익스프레스에어카고
QE,익스프레스 프레이터스 오스트랄리아,익스프레스프레이터스오스트랄리아
MG,이즈니스 항공,이즈니스항공
FN,페스트젯 짐바브웨,페스트젯짐바브웨
7V,페데랄 항공,페데랄항공
FX,페덱스,페덱스
FJ,피지 항공,피지항공
AY,핀 에어,핀에어
FY,파이어플라이,파이어플라이
8D,FITS 항공,FITS항공
F8,플레어항공,플레어항공
W2,플렉스플라이트,플렉스플라이트
YS,플라이트 링크,플라이트링크
8W,플라이 올웨이즈,플라이올웨이즈
EQ,플라이 앙골라,플라이앙골라
IF,플라이 바그다드,플라이바그다드
9P,플라이 진나,플라이진나
F0,플라이 요르단,플라이요르단
2U,플라이 키바,플라이키바
FL,플라이 릴리,플라이릴리
F6,플라이투스카이,플라이투스카이
IC,플라이 91,플라이91
F3,플라이어딜,플라이어딜
FS,플라이 아리스탄,플라이아리스탄
S9,플라이 빅,플라이빅
FO,플라이본디,플라이본디
FZ,플라이두바이,플라이두바이
FT,플라이 이집트,플라이이집트
SX,플라이 GTA 항공,플라이GTA항공
5M,플라이 몬세라트,플라이몬세라트
WV,플라이 나미비아,플라이나미비아
XY,플라이 나스,플라이나스
5F,플라이 원,플라이원
3F,플라이원 아르메니아,플라이원아르메니아
FP,플라이 펠리칸,플라이펠리칸
FA,플라이사페어,플라이사페어
FH,프리버드 항공,프리버드항공
MI,프리버드 유럽,프리버드유럽
4F,프리덤 항공,프리덤항공
FA,프리덤 II,프리덤II
BF,프렌치 비,프렌치비
F9,프론티어 항공,프론티어항공
C0,FTL 에어라인즈,FTL에어라인즈
JH,후지드림 항공,후지드림항공
FU,푸저우 항공,푸저우항공
8S,갈리스테어 몰타,갈리스테어몰타
GA,가루다 인도네시아 항공,가루다인도네시아항공
9A,GCA 항공,GCA항공
9D,징기스칸 항공,징기스칸항공
GH,조지아 항공,조지아항공
A9,조지아 항공,조지아항공
D4,지오스카이,지오스카이
ZQ,독일 항공,독일항공
GW,겟젯 항공,겟젯항공
5S,글로벌 항공 운송,글로벌항공운송
GE,글로벌 항공 운영,글로벌항공운영
G6,글로벌 크로싱 항공,글로벌크로싱항공
6G,고투스카이,고투스카이
G7,고젯 항공,고젯항공
G3,골 항공,골항공
IV,GP 항공,GP항공
YR,그랜드캐년 항공,그랜드캐년항공
CN,그랜드 차이나 에어,그랜드차이나에어
GV,그랜트 항공,그랜트항공
HB,그레이터 베이 항공,그레이터베이항공
Q9,그린아프리카 항공,그린아프리카항공
GX,광시 베이부 걸프 항공,광시베이부걸프항공
IF,걸프앤캐리비안항공,걸프앤캐리비안항공
GF,걸프항공,걸프항공
G2,걸리버 항공,걸리버항공
HU,하이난 항공,하이난항공
HR,한에어라인,한에어라인
YB,하버 에어,하버에어
HA,하와이안 항공,하와이안항공
Y5,헤이웨이즈항공,헤이웨이즈항공
NS,허베이 항공,허베이항공
JB,헬리제트 인터내셔널,헬리제트인터내셔널
H3,헬로젯,헬로젯
2L,헬베틱 항공,헬베틱항공
HN,헤스톤 항공,헤스톤항공
5K,하이 플라이,하이플라이
3L,하이 플라이 몰타,하이플라이몰타
HG,하이버니언 항공,하이버니언항공
H9,히말라야 항공,히말라야항공
OI,힌터렌드 항공,힌터렌드항공
H7,하이스카이 몰도바,하이스카이몰도바
H4,하이스카이 루마니아,하이스카이루마니아
UO,홍콩 익스프레스,홍콩익스프레스
HD,홀리데이 항공,홀리데이항공
5Q,홀리데이 유럽,홀리데이유럽
RH,홍콩 화물항공,홍콩화물항공
HX,홍콩 항공,홍콩항공
A5,HOP! 항공,HOP!항공
QX,호라이즌 항공,호라이즌항공
MR,훈누 항공,훈누항공
II,IBC 항공,IBC항공
IB,이베리아 항공,이베리아항공
I2,이베리아 익스프레스,이베리아익스프레스
YW,이베리아 지역 항공 노스트룸,이베리아지역항공노스트룸
E9,이베로젯,이베로젯
6O,이베로젯 포르투갈,이베로젯포르투갈
FW,아이벡스 항공,아이벡스항공
QI,이봄에어,이봄에어
FI,아이슬란드 항공,아이슬란드항공
F7,아이플라이,아이플라이
V8,일리암나 에어택시,일리암나에어택시
I7,인디아원 에어,인디아원에어
6E,인디고 항공,인디고항공
QZ,인도네시아 에어아시아,인도네시아에어아시아
JY,인터 케르비안 항공,인터케르비안항공
IO,이르에어로,이르에어로
IR,이란 항공,이란항공
B9,이란 에어 투어,이란에어투어
EP,이란 아세만항공,이란아세만항공
IA,이라크 항공,이라크항공
I4,아일랜드 에어 익스프레스,아일랜드에어익스프레스
AZ,ITA항공,ITA항공
I8,이자비아,이자비아
JM,잠보제트,잠보제트
JC,일본 항공 커뮤터,일본항공커뮤터
JL,일본 항공,일본항공
NU,저팬 트랜스오션 에어,저팬트랜스오션에어
J9,자지라항공,자지라항공
QK,재즈 항공,재즈항공
QD,JC 캄보디아 국제항공,JC캄보디아국제항공
7C,제주 항공,제주항공
LS,제트투컴,제트투컴
B6,제트블루 항공,제트블루항공
WJ,제트스마트 아르헨티나,제트스마트아르헨티나
JA,제트스마트 칠레,제트스마트칠레
J6,젯스마트 콜롬비아,젯스마트콜롬비아
JZ,제트스마트 페루,제트스마트페루
JQ,제트스타 항공,제트스타항공
3K,제트스타 아시아,제트스타아시아
GK,제트스타 일본,제트스타일본
JG,장쑤 징동 화물항공,장쑤징동화물항공
RY,장시 항공,장시항공
LJ,진에어,진에어
